processed_name,proper_name,suggested_unit,suggested_unit_url,url
beryllium concentration,beryllium concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/beryllium_concentration
beta endosulfan concentration,beta-endosulfan concentration,Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/beta-endosulfan_concentration
bicarbonate concentration,bicarbonate concentration,,,http://registry.it.csiro.au/def/environment/property/bicarbonate_concentration
biochemical oxygen demand,biochemical oxygen demand,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/biochemical_oxygen_demand
20 day biochemical oxygen demand,20 day biochemical oxygen demand,,,http://registry.it.csiro.au/def/environment/property/biochemical_oxygen_demand_20_day
20 day nitrogenous biochemical oxygen demand,20 day nitrogenous biochemical oxygen demand,,,http://registry.it.csiro.au/def/environment/property/biochemical_oxygen_demand_20_day_nitrogenous
5 day biochemical oxygen demand,5 day biochemical oxygen demand,,,http://registry.it.csiro.au/def/environment/property/biochemical_oxygen_demand_5_day
5 day carbonaceous biochemical oxygen demand,5 day carbonaceous biochemical oxygen demand,,,http://registry.it.csiro.au/def/environment/property/biochemical_oxygen_demand_5_day_carbonaceous
5 day nitrogenous biochemical oxygen demand,5 day nitrogenous biochemical oxygen demand,,,http://registry.it.csiro.au/def/environment/property/biochemical_oxygen_demand_5_day_nitrogenous
carbonaceous biochemical oxygen demand,carbonaceous biochemical oxygen demand,,,http://registry.it.csiro.au/def/environment/property/biochemical_oxygen_demand_carbonaceous
nitrogenous biochemical oxygen demand,nitrogenous biochemical oxygen demand,,,http://registry.it.csiro.au/def/environment/property/biochemical_oxygen_demand_nitrogenous
bismuth concentration,bismuth concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/bismuth_concentration
boron concentration,boron concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/boron_concentration
bromide concentration,bromide concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/bromide_concentration
bromine concentration,bromine concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/bromine_concentration
1 bromo 4 fluorobenzene concentration,1-bromo-4-fluorobenzene concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/bromo_1-fluorobenzene_4_concentration
bromobenzene concentration,bromobenzene concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/bromobenzene_concentration
bromochloromethane concentration,bromochloromethane concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/bromochloromethane_concentration
bromodichloromethane concentration,bromodichloromethane concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/bromodichloromethane_concentration
bromomethane concentration,bromomethane concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/bromomethane_concentration
bromophos ethyl concentration,bromophos-ethyl concentration,Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/bromophos-ethyl_concentration
butane concentration,butane concentration,Mol Percent,http://registry.it.csiro.au/def/environment/unit/MolPercent,http://registry.it.csiro.au/def/environment/property/butane_concentration
butanone concentration,butanone concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/butanone_concentration
cadmium concentration,cadmium concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/cadmium_concentration
caesium concentration,caesium concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/caesium_concentration
calcium carbonate concentration,calcium carbonate concentration,,,http://registry.it.csiro.au/def/environment/property/calcium_carbonate_concentration
calcium concentration,calcium concentration,Milligrams Per Kilogram | Percent | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerKilogram | http://qudt.org/vocab/unit#Percent | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/calcium_concentration
carbon 13 concentration,carbon 13 concentration,Percent,http://qudt.org/vocab/unit#Percent,http://registry.it.csiro.au/def/environment/property/carbon_13_concentration
carbon 14 concentration,carbon 14 concentration,Percent,http://qudt.org/vocab/unit#Percent,http://registry.it.csiro.au/def/environment/property/carbon_14_concentration
carbon average content,carbon - average content,Milligrams Per Kilogram,http://registry.it.csiro.au/def/environment/unit/MilligramsPerKilogram,http://registry.it.csiro.au/def/environment/property/carbon_average_content
carbon concentration,carbon concentration,,,http://registry.it.csiro.au/def/environment/property/carbon_concentration
total dissolved carbon dioxide concentration,total dissolved carbon dioxide concentration,Mol Percent | Percent | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MolPercent | http://qudt.org/vocab/unit#Percent | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/carbon_dioxide_concentration
carbon dioxide flux,carbon dioxide flux,,,http://registry.it.csiro.au/def/environment/property/carbon_dioxide_flux
carbon dioxide storage flux,carbon dioxide storage flux,,,http://registry.it.csiro.au/def/environment/property/carbon_dioxide_storage_flux
carbon dissolved inorganic concentration,carbon - dissolved inorganic concentration,,,http://registry.it.csiro.au/def/environment/property/carbon_dissolved_inorganic_concentration
carbon dissolved organic concentration,carbon - dissolved organic concentration,,,http://registry.it.csiro.au/def/environment/property/carbon_dissolved_organic_concentration
carbon disulfide concentration,carbon disulfide concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/carbon_disulfide_concentration
carbon inorganic concentration,carbon - inorganic concentration,,,http://registry.it.csiro.au/def/environment/property/carbon_inorganic_concentration
