@id,qudt:abbreviation,qudt:code,qudt:conversionMultiplier,qudt:conversionOffset,qudt:currencyExponent,qudt:description,qudt:exactMatch,qudt:literal,qudt:quantityKind,qudt:symbol,qudt:uneceCommonCode,rdf:type,rdfs:label,skos:closeMatch,skos:exactMatch
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/MilLength>,'mil'^^xsd:string,'1165'^^xsd:string,"","","","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/Length>,'mil'^^xsd:string,"",qudt:NotUsedWithSIUnit|qudt:DerivedUnit|qudt:Unit|qudt:LengthUnit,'Mil Length'^^xsd:string,"",<http://qudt.org/vocab/unit#MilLength>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/MileInternational>,'miINT'^^xsd:string,'1140'^^xsd:string,1609.344,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/Length>,'mi'^^xsd:string,"",qudt:LengthUnit|qudt:Unit|qudt:NotUsedWithSIUnit,'Mile - International Standard'^^xsd:string,"",<http://qudt.org/vocab/unit#MileInternational>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/MilePerHour>,'mi/hr'^^xsd:string,'1150'^^xsd:string,0.44704,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/LinearVelocity>,'mi/hr'^^xsd:string,'HM'^^xsd:string,qudt:Unit|qudt:LinearVelocityUnit,'Mile per Hour'^^xsd:string,"",<http://qudt.org/vocab/unit#MilePerHour>|<http://dbpedia.org/resource/Miles_per_hour>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/MilePerMinute>,'mi/min'^^xsd:string,'1155'^^xsd:string,26.8224,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/LinearVelocity>,'mi/min'^^xsd:string,"",qudt:LinearVelocityUnit|qudt:Unit,'Mile per Minute'^^xsd:string,"",<http://qudt.org/vocab/unit#MilePerMinute>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/MileUSStatute>,'miUS'^^xsd:string,'1160'^^xsd:string,1609.347,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/Length>,'mi'^^xsd:string,"",qudt:NotUsedWithSIUnit|qudt:LengthUnit|qudt:Unit,'Mile US Statute'^^xsd:string,"",<http://qudt.org/vocab/unit#MileUSStatute>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Milli>,"","",1.0E-3,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/Dimensionless>,'m'^^xsd:string,"",qudt:Unit|qudt:DecimalPrefixUnit,'Milli'^^xsd:string,"",<http://dbpedia.org/resource/Milli->|<http://qudt.org/vocab/unit#Milli>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/MilliHenry>,'milliH'^^xsd:string,'2670'^^xsd:string,0.0010e0,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/Inductance>,'milliH'^^xsd:string,'C14'^^xsd:string,qudt:InductanceUnit|qudt:DerivedUnit|qudt:Unit|qudt:SIUnit,'Millihenry'^^xsd:string,<http://dbpedia.org/resource/Henry_%28unit%29>,<http://qudt.org/vocab/unit#MilliHenry>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/MilliSecond>,'ms'^^xsd:string,'1616'^^xsd:string,0.001,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/Time>,'ms'^^xsd:string,'C26'^^xsd:string,qudt:DerivedUnit|qudt:TimeUnit|qudt:Unit,'Millisecond'^^xsd:string,"",<http://qudt.org/vocab/unit#MilliSecond>|<http://dbpedia.org/resource/Millisecond>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/MilliTorr>,'utorr'^^xsd:string,'2046'^^xsd:string,0.133322,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/ForcePerArea>,'utorr'^^xsd:string,"",qudt:NotUsedWithSIUnit|qudt:PressureOrStressUnit|qudt:Unit|qudt:NonSIUnit,'MilliTorr'^^xsd:string,"",<http://qudt.org/vocab/unit#MilliTorr>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Millibar>,'mbar'^^xsd:string,'1170'^^xsd:string,1.0E2,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/ForcePerArea>,'mbar'^^xsd:string,'MBR'^^xsd:string,qudt:PressureOrStressUnit|qudt:NotUsedWithSIUnit|qudt:Unit,'Millibar'^^xsd:string,<http://dbpedia.org/resource/Bar_%28unit%29>,<http://qudt.org/vocab/unit#Millibar>
